obj0,obj1,obj2,cpu
4712,2141,2163,0.125095
993,4605,4444,0.12511
4538,833,4528,0.125117
4635,843,3871,0.125128
5235,595,4483,0.125139
4561,3611,1337,0.125149
4012,2959,1792,0.125167
4554,3331,1470,0.125182
1955,4895,2219,0.125189
1212,5042,3792,0.125195
1428,5130,3214,0.125201
1166,4183,4200,0.125208
2960,2233,3286,0.12522
4689,1423,3028,0.125231
4836,724,4615,0.125241
4572,3910,1228,0.125248
4467,2992,1659,0.125261
4152,4363,1125,0.125269
3987,2590,2107,0.125286
2114,4868,2058,0.125298
2487,3638,2412,0.125313
1512,5080,3010,0.125328
1763,5024,2480,0.125338
1882,4477,2502,0.125357
1502,3562,4378,0.125366
2504,2585,3452,0.125374
1936,3404,3267,0.125381
1820,3172,4104,0.125396
5439,887,3716,0.125408
4406,1059,3715,0.125415
3708,1482,3670,0.125426
3353,1685,3825,0.125436
2827,2236,3550,0.125443
3611,1472,4327,0.125449
3176,1787,4132,0.125463
5184,662,4200,0.12547
4353,3659,1348,0.125483
3565,4553,1215,0.125493
4259,3040,1670,0.125505
4346,3379,1481,0.125513
3433,3041,2135,0.125525
1517,5028,3007,0.125537
1214,4641,3863,0.125547
2314,3814,2454,0.12556
1663,4040,3154,0.125569
2551,2415,4015,0.125589
1660,3583,3732,0.125597
1221,4377,3947,0.125613
1437,4465,3369,0.125621
1690,4606,2763,0.125635
1387,4219,3619,0.125648
4280,1046,4026,0.12567
5461,1186,3292,0.125683
5193,1459,2925,0.125693
4773,1696,2682,0.1257
5277,1732,2579,0.125712
4099,3298,1603,0.125722
4628,1868,2509,0.125746
2882,2995,2639,0.125762
3489,2040,3095,0.125773
2589,4249,1985,0.125788
2041,4450,2341,0.125801
3048,4754,1384,0.125814
3041,4474,1517,0.125823
2916,5028,1447,0.125838
1433,5078,3211,0.125849
1573,5028,2885,0.125862
2155,3841,2615,0.125875
1860,3950,2943,0.125893
1698,3285,4358,0.125921
2228,2764,3917,0.125932
2565,2876,3059,0.125942
1442,4004,3735,0.125957
5523,1804,2486,0.125969
5171,1160,3349,0.125979
4364,3958,1239,0.125989
3558,4273,1348,0.126001
2762,4073,1943,0.126024
1209,4693,3866,0.126042
2109,3228,3225,0.126052
2095,3377,3106,0.126068
2268,3201,3064,0.126085
5439,1531,2832,0.126101
5155,700,4110,0.126111
3019,2660,2825,0.12614
3967,3521,1560,0.152772
4589,1371,3191,0.152802
4937,704,4396,0.152819
4187,1617,3140,0.152833
3974,3801,1427,0.152846
5393,1415,3036,0.152857
3461,2734,2487,0.152868
3985,4100,1318,0.152879
4914,1656,2818,0.152895
4497,1857,2734,0.152913
4414,2003,2639,0.152926
4980,2029,2417,0.152941
3041,3187,2384,0.152958
4655,1744,2790,0.152971
1049,4605,4322,0.223654
1268,5042,3670,0.223684
3021,4217,1714,0.223699
4613,1188,3411,0.223722
1277,4377,3825,0.223743
1489,5078,3089,0.223759
1270,4641,3741,0.223773
1765,4899,2624,0.223798
2766,3315,2534,0.223815
2954,3411,2254,0.22383
3349,2768,2481,0.223852
2742,3816,2140,0.223876
3221,3446,2021,0.223893
4394,1746,2836,0.223912
5095,925,3732,0.223933
3898,4002,1380,0.223948
3811,3663,1569,0.223969
1546,4462,3276,0.223991
3753,2468,2434,0.224037
3161,2672,2761,0.224112
2569,3992,2182,0.224132
2410,4019,2343,0.224174
3909,1363,4414,0.224207
3565,2372,2714,0.224251
3026,3790,1957,0.224278
3784,1814,3289,0.224295
3538,4016,1545,0.224313
2607,3342,2695,0.224343
2434,3518,2737,0.224357
2593,3491,2576,0.224378
3865,1939,3027,0.224395
5096,649,4469,0.224414
4050,3375,1655,0.246171
2663,2558,3291,0.246214
3182,2033,3395,0.246257
4063,1922,2916,0.246292
3004,3437,2243,0.246362
3279,3872,1774,0.246396
3533,3576,1824,0.246429
3112,1874,4079,0.297007
4615,1004,3841,0.297057
2763,2323,3497,0.297092
2251,4024,2440,0.297119
2705,3808,2206,0.297142
2587,3403,2618,0.297169
1484,3793,3926,0.2972
1362,3906,4180,0.297231
2195,3142,3312,0.297259
3309,1784,3868,0.297292
4236,1145,4069,0.297318
1727,4356,2904,0.297347
2487,2502,3962,0.297386
2041,3208,3523,0.297416
1705,3829,3345,0.297452
