instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,LP,breadth,coneOB,1,22,1.82086,7951,0.279494,1.39251,0.057411,757,2,18,12.1926,323,9,47,0.00134129,0.00172999,1.7765,0.000194684,0.00517599,0.000163027
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,LP,breadth,fullOB,1,22,1.40037,8038,0.221366,1.05117,0.0445901,785,2,18,12.1985,344,9,50,0.00102509,0.00131,1.35316,0.000787901,0.00427379,0.000144601
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,LP,breadth,noOB,1,22,1.62874,9519,0.282995,1.21725,0.0501193,817,2,19,12.5428,261,28,120,0.00066453,0.00166829,1.58408,0.000139512,0.00325621,0.000108914
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,LP,depth,coneOB,1,22,1.61647,9690,0.266784,1.19851,0.0481144,1031,2,20,13.2733,478,15,23,0.0010481,0.00173339,1.55545,0.000231983,0.00590649,0.000105708
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,LP,depth,fullOB,1,22,1.63403,9785,0.264889,1.2056,0.0489181,1073,2,20,13.2004,517,15,22,0.0011273,0.0017457,1.56284,0.0014877,0.00568093,0.000131415
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,LP,depth,noOB,1,22,1.94223,11470,0.345568,1.42074,0.0589241,1107,2,20,13.5199,380,57,117,0.0011101,0.00236391,1.87444,0.000180597,0.00407659,0.000113323
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,WLP,breadth,coneOB,1,22,1.08145,5455,0.0368923,0.898843,0.0509826,757,2,18,12.1926,323,9,47,0.00111161,0.00108541,1.01844,0.000159092,0.0185163,0.00016361
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,WLP,breadth,fullOB,1,22,1.16857,5544,0.0388346,0.978659,0.0517749,785,2,18,12.1985,344,9,50,0.0012383,0.0012081,1.10246,0.000706291,0.019758,0.000163712
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,WLP,breadth,noOB,1,22,1.18332,6302,0.0375237,0.972591,0.0581197,817,2,19,12.5428,261,28,120,0.000757069,0.00134512,1.10042,0.000144389,0.0187722,0.000174762
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,WLP,depth,coneOB,1,22,1.22247,6715,0.0419889,1.00178,0.0574255,1031,2,20,13.2733,478,15,23,0.00113429,0.0016737,1.14073,0.000205669,0.02225,0.000136544
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,WLP,depth,fullOB,1,22,1.23973,6809,0.0409713,1.0189,0.0578194,1073,2,20,13.208,516,15,22,0.00123,0.00153222,1.16,0.00146681,0.0240711,0.000126671
Kirlik14-ILP_p-3_n-10_m-5_ins-1.dat,3,10,WLP,depth,noOB,1,22,1.48834,7624,0.0544187,1.23371,0.0640272,1107,2,20,13.5199,380,57,117,0.00107528,0.00184838,1.39881,0.000195513,0.021395,0.000118889
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,LP,breadth,coneOB,1,5,0.360481,2026,0.0660051,0.258053,0.00902883,229,2,19,11.2696,98,2,15,0.0001244,0.000339,0.342369,3.49e-05,0.000908703,4.3096e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,LP,breadth,fullOB,1,5,0.34348,2027,0.063912,0.24377,0.00980271,231,2,19,11.3333,100,2,15,0.000106791,0.000310904,0.32633,0.000145601,0.000823903,2.3596e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,LP,breadth,noOB,1,5,0.559788,3252,0.105262,0.410961,0.0163189,295,2,21,12.25,80,7,61,0.000134405,0.000565801,0.544898,5.4808e-05,0.00111911,3.3206e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,LP,depth,coneOB,1,5,0.513301,2712,0.0922625,0.372929,0.0128461,307,2,20,12.1299,137,5,12,0.000167289,0.000416894,0.490742,5.0198e-05,0.0012459,2.9708e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,LP,depth,fullOB,1,5,0.472589,2715,0.0857196,0.340184,0.0132139,315,2,20,11.9317,146,5,10,0.000260092,0.000461804,0.452241,0.000295307,0.00151801,3.2293e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,LP,depth,noOB,1,5,0.615951,3784,0.1179,0.433801,0.0170803,353,2,21,12.9944,101,18,58,0.000153808,0.000691986,0.584469,5.3301e-05,0.0013376,3.3398e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,breadth,coneOB,1,5,0.300616,1501,0.0095126,0.24796,0.0136398,229,2,19,11.2696,98,2,15,0.000150907,0.000365797,0.280899,5.461e-05,0.0053986,3.5787e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,breadth,fullOB,1,5,0.279253,1504,0.0075127,0.222391,0.0123503,231,2,19,11.3333,100,2,15,0.000149483,0.00031331,0.250923,0.000144909,0.00474651,3.0394e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,breadth,noOB,1,5,0.444813,2319,0.0200217,0.363395,0.0202312,295,2,21,12.25,80,7,61,0.0001341,0.000425708,0.415225,4.5896e-05,0.0059072,4.0395e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,depth,coneOB,1,5,0.361294,1990,0.0113805,0.291071,0.0164912,307,2,20,12.1299,137,5,12,0.000167206,0.000366303,0.330813,4.6892e-05,0.0059378,3.249e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,depth,fullOB,1,5,0.363799,2003,0.0126608,0.298773,0.0159616,315,2,20,11.9317,146,5,10,0.000215994,0.00043981,0.338956,0.000263304,0.00655411,3.4003e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,depth,noOB,1,5,0.496927,2684,0.0191774,0.408734,0.0242152,353,2,21,12.9944,101,18,58,0.00021431,0.000677097,0.468048,6.1395e-05,0.0073311,4.0208e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,breadth,coneOB,1,9,1.23201,7031,0.210441,0.916279,0.0355985,697,3,19,11.3639,289,5,55,0.000361204,0.0007142,1.19076,7.772e-05,0.00263429,0.00010109
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,breadth,fullOB,1,9,1.22944,6954,0.210437,0.90679,0.0351887,703,3,19,11.3511,298,5,53,0.000349609,0.000715707,1.18232,0.000265402,0.00313789,9.9716e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,breadth,noOB,1,9,1.59806,8514,0.275369,1.19426,0.0481024,731,3,21,11.6612,243,11,112,0.000360296,0.000909992,1.55229,0.000144504,0.00296701,9.8715e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,depth,coneOB,1,9,1.42265,7790,0.262581,1.03809,0.0394497,867,3,23,13.0069,395,15,24,0.00079752,0.00118058,1.37665,0.0001666,0.0039237,9.0888e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,depth,fullOB,1,9,1.40579,7742,0.25348,1.01353,0.0375431,909,3,23,12.9464,433,15,18,0.000777805,0.0010917,1.33935,0.00116708,0.00396879,8.5328e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,depth,noOB,1,9,1.72295,9640,0.307233,1.28149,0.0477432,875,3,23,13.0776,290,32,116,0.000572885,0.0013888,1.67906,0.000157313,0.00366631,8.7404e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,breadth,coneOB,1,9,1.05311,5629,0.030573,0.883423,0.0541952,697,3,19,11.3639,289,5,55,0.000413202,0.000731577,0.996911,8.6113e-05,0.0152723,0.0001854
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,breadth,fullOB,1,9,1.02338,5554,0.0279141,0.860719,0.0522369,703,3,19,11.3511,298,5,53,0.000473827,0.000749783,0.969285,0.00030469,0.015763,0.000158703
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,breadth,noOB,1,9,1.18932,6644,0.0300324,0.999827,0.0624804,731,3,21,11.6612,243,11,112,0.000320097,0.000809381,1.1224,0.000141305,0.0164083,0.000180479
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,depth,coneOB,1,9,1.19571,6175,0.0373523,1.00154,0.0542627,867,3,23,13.0069,395,15,24,0.000743212,0.0011083,1.1293,0.000164294,0.0184257,0.000110223
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,depth,fullOB,1,9,1.22884,6167,0.0348,1.03426,0.0535631,909,3,23,12.9464,433,15,18,0.000737281,0.00101561,1.15687,0.00111199,0.0183427,9.7015e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,depth,noOB,1,9,1.44716,7381,0.0403689,1.24307,0.0654579,875,3,23,13.0776,290,32,116,0.000657191,0.0013649,1.38768,0.00018299,0.0193362,9.3877e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,breadth,coneOB,1,40,3.62422,20890,0.472276,2.86194,0.117985,1645,4,19,12.938,709,30,84,0.00323158,0.00310241,3.52755,0.000331112,0.00944659,0.00026408
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,breadth,fullOB,1,40,3.46727,20845,0.442279,2.70801,0.122064,1767,4,19,12.9731,821,29,80,0.00326361,0.00289829,3.35393,0.00139609,0.0103662,0.000307401
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,breadth,noOB,1,40,3.8267,23826,0.530298,2.99148,0.135197,1697,4,19,13.0506,551,72,226,0.00162337,0.00382031,3.73161,0.00030951,0.00719149,0.000257195
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,depth,coneOB,1,40,2.97537,18641,0.374104,2.34471,0.106065,1493,4,19,12.9143,667,44,36,0.00258082,0.00277477,2.88854,0.000406888,0.0093906,0.000131411
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,depth,fullOB,1,40,3.13307,17739,0.406717,2.46189,0.100886,1567,4,19,12.7184,760,44,27,0.0027853,0.00267031,3.03507,0.00297629,0.00982221,0.000147078
